Love_Arranged  Age   Gender  Education      Occupation     Salary    Indian_state   Conflict_per_year 
Arranged       23    Female  Graduate       Doctor         2468223   WB             23                
Love           37    Male    PhD            Engineer       1347404   Maharashtra    1                 
Love           33    Male    Graduate       Business       2186284   Delhi          16                
Love           21    Male    10th           GovtJob        1124742   Gujarat        16                
Arranged       29    Female  Graduate       GovtJob        1560893   Punjab         8                 
Love           36    Female  Post Graduate  Doctor         2247006   UP             11                
Arranged       32    Female  PhD            Engineer       1846307   UP             22                
Love           28    Male    PhD            Engineer       2669078   TamilNadu      7                 
Love           25    Male    10th           PrivateJob     838668    WB             23                
Arranged       32    Male    12th           Business       2681744   Telangana      16                
Love           34    Male    Graduate       GovtJob        2698020   Punjab         16                
Love           26    Female  Graduate       Doctor         1201509   Karnataka      6                 
Love           34    Male    10th           Doctor         907735    WB             14                
Love           31    Female  10th           PrivateJob     1053340   Karnataka      6                 
Arranged       32    Male    PhD            GovtJob        2796082   Rajasthan      7                 
Arranged       32    Male    Graduate       GovtJob        2124477   Delhi          3                 
Arranged       30    Female  10th           PrivateJob     2451149   Delhi          11                
Love           25    Male    12th           Engineer       704813    Delhi          7                 
Love           38    Male    10th           Teacher        1562612   TamilNadu      4                 
Love           30    Female  12th           PrivateJob     2352954   Rajasthan      6                 
Arranged       32    Male    Graduate       Doctor         307613    Punjab         24                
Love           22    Female  10th           PrivateJob     1160564   Rajasthan      16                
Love           22    Male    Post Graduate  Engineer       2660799   Telangana      24                
Arranged       32    Female  PhD            Teacher        1015328   WB             9                 
Love           27    Female  10th           Teacher        876019    Gujarat        2                 
Arranged       23    Female  Graduate       Doctor         2497982   TamilNadu      18                
Arranged       35    Female  Graduate       Doctor         2186874   Gujarat        20                
Arranged       33    Female  10th           Teacher        2110502   Punjab         25                
Arranged       26    Female  12th           GovtJob        1272757   Karnataka      21                
Arranged       24    Male    Post Graduate  Teacher        1977310   WB             12                
Love           31    Female  12th           PrivateJob     2846885   TamilNadu      8                 
Arranged       29    Male    12th           Engineer       2996732   Telangana      2                 
Arranged       25    Male    10th           GovtJob        1073289   Telangana      1                 
Love           27    Male    Graduate       Teacher        1924666   Telangana      1                 
Arranged       29    Female  PhD            Doctor         2679883   Telangana      6                 
Love           28    Male    PhD            PrivateJob     1485243   Karnataka      21                
Arranged       37    Male    12th           Doctor         2141009   TamilNadu      1                 
Love           38    Male    PhD            Business       2641468   WB             15                
Arranged       28    Female  12th           Business       2905584   Maharashtra    23                
Arranged       25    Female  12th           PrivateJob     1506543   Karnataka      5                 
Arranged       23    Female  PhD            GovtJob        630323    Maharashtra    14                
Arranged       25    Male    Post Graduate  PrivateJob     1814633   Maharashtra    19                
Arranged       36    Female  Graduate       Engineer       934575    Maharashtra    21                
Love           27    Male    Graduate       Engineer       1699338   Gujarat        4                 
Arranged       36    Female  Post Graduate  PrivateJob     1668022   Telangana      20                
Love           27    Male    PhD            Doctor         1042687   Delhi          25                
Love           22    Female  Graduate       PrivateJob     1097522   Gujarat        17                
Love           25    Female  10th           Teacher        2214188   Telangana      15                
Love           31    Male    Graduate       Engineer       2136292   Karnataka      13                
Love           36    Male    Graduate       Doctor         216003    Punjab         17                
Arranged       25    Female  12th           Doctor         1494929   Maharashtra    14                
Love           23    Male    PhD            Engineer       997123    UP             8                 
Love           25    Male    10th           Doctor         212480    Telangana      12                
Arranged       37    Male    Post Graduate  GovtJob        1554327   Karnataka      7                 
Arranged       31    Female  Graduate       Engineer       547912    Gujarat        21                
Arranged       25    Male    10th           Business       2532606   Gujarat        19                
Arranged       22    Male    Post Graduate  Business       2552568   TamilNadu      4                 
Love           38    Male    Post Graduate  Doctor         2419825   Karnataka      23                
Arranged       33    Male    12th           Engineer       1374018   WB             22                
Arranged       26    Male    PhD            PrivateJob     919935    Karnataka      16                
Arranged       37    Female  PhD            Engineer       626030    Maharashtra    13                
Arranged       37    Female  Post Graduate  Engineer       1736252   Telangana      11                
Arranged       24    Male    12th           Doctor         1557919   Karnataka      11                
Arranged       32    Male    12th           Engineer       802796    Gujarat        15                
Love           29    Female  10th           PrivateJob     1334105   Delhi          6                 
Arranged       25    Male    Graduate       GovtJob        1058635   Karnataka      1                 
Love           24    Male    Graduate       Engineer       895886    Karnataka      20                
Arranged       23    Female  10th           Business       937657    Rajasthan      18                
Arranged       32    Male    Graduate       GovtJob        2080951   TamilNadu      13                
Love           32    Male    Post Graduate  Teacher        2266317   Karnataka      23                
Arranged       32    Female  12th           Business       389317    TamilNadu      2                 
Arranged       22    Male    10th           Teacher        1320560   Punjab         13                
Love           26    Female  Graduate       Engineer       2163846   TamilNadu      15                
Arranged       24    Male    12th           PrivateJob     2182766   Karnataka      11                
Arranged       22    Female  PhD            Teacher        2677468   Maharashtra    16                
Arranged       38    Female  10th           Teacher        1740716   Gujarat        2                 
Arranged       21    Male    10th           Teacher        2337928   WB             24                
Arranged       34    Male    PhD            PrivateJob     1292324   TamilNadu      3                 
Arranged       37    Female  10th           Doctor         999231    UP             18                
Love           34    Female  10th           Doctor         2179853   Maharashtra    12                
Love           22    Female  12th           Teacher        1972219   Telangana      3                 
Arranged       35    Female  Graduate       PrivateJob     442698    Telangana      9                 
Love           33    Male    Graduate       Business       583748    Rajasthan      12                
Arranged       21    Female  PhD            Engineer       999745    Delhi          7                 
Arranged       27    Male    PhD            Engineer       1644264   Gujarat        6                 
Love           35    Female  10th           Teacher        1869541   Delhi          0                 
Love           34    Male    12th           PrivateJob     451308    Punjab         21                
Arranged       23    Female  12th           Teacher        2849409   Telangana      14                
Arranged       33    Male    Graduate       Engineer       1412954   Punjab         9                 
Arranged       25    Female  12th           Teacher        1354351   Maharashtra    21                
Arranged       37    Female  PhD            Business       486511    Karnataka      4                 
Arranged       21    Female  Post Graduate  Doctor         1515710   Gujarat        21                
Love           30    Female  PhD            Doctor         2627410   Telangana      8                 
Arranged       31    Male    Graduate       Teacher        2371931   WB             0                 
Love           29    Male    PhD            GovtJob        248547    UP             19                
Love           24    Female  Graduate       Teacher        2261012   TamilNadu      6                 
Love           32    Female  PhD            Engineer       210325    Karnataka      21                
Arranged       31    Female  Post Graduate  PrivateJob     1182045   UP             18                
Love           23    Male    10th           Doctor         1673201   Rajasthan      10                
Arranged       26    Female  Post Graduate  PrivateJob     800206    TamilNadu      5                 
Arranged       24    Male    PhD            GovtJob        2691010   Karnataka      1                 
Love           31    Male    10th           Business       1406814   Rajasthan      22                
Arranged       26    Male    Post Graduate  PrivateJob     1314352   UP             2                 
Arranged       35    Male    12th           Engineer       1543317   Punjab         22                
Love           37    Male    Graduate       PrivateJob     2155688   Telangana      16                
Arranged       35    Female  Post Graduate  Business       2055318   WB             7                 
Arranged       26    Male    Graduate       Teacher        2155107   Rajasthan      7                 
Arranged       37    Male    Post Graduate  GovtJob        1714607   Karnataka      18                
Love           28    Male    PhD            Teacher        1798364   Gujarat        7                 
Arranged       23    Male    PhD            Doctor         2341769   Telangana      5                 
Love           32    Female  12th           Business       2655892   TamilNadu      20                
Arranged       29    Female  Post Graduate  GovtJob        823124    Gujarat        4                 
Love           24    Female  Graduate       Teacher        2093445   Karnataka      10                
Arranged       37    Male    10th           Engineer       828971    TamilNadu      10                
Arranged       37    Male    Post Graduate  PrivateJob     2816273   TamilNadu      1                 
Love           27    Female  10th           PrivateJob     1130405   TamilNadu      17                
Arranged       25    Female  12th           Teacher        1866336   Karnataka      11                
Arranged       26    Female  PhD            Engineer       2595374   Rajasthan      6                 
Love           37    Female  12th           GovtJob        2178337   WB             11                
Arranged       23    Female  10th           Business       771636    Gujarat        6                 
Arranged       38    Female  Graduate       PrivateJob     934885    WB             2                 
Love           21    Female  Post Graduate  Business       436137    WB             25                
Arranged       29    Female  12th           Doctor         2284472   Karnataka      17                
Arranged       22    Female  Graduate       Business       2124339   UP             6                 
Arranged       34    Female  PhD            PrivateJob     2661302   UP             7                 
Arranged       23    Female  10th           Doctor         274380    Karnataka      15                
Arranged       26    Female  12th           Engineer       804580    Rajasthan      19                
Love           28    Male    Post Graduate  Teacher        1909416   Karnataka      11                
Arranged       22    Female  Post Graduate  Engineer       1053221   Telangana      5                 
Arranged       21    Female  PhD            Doctor         671532    Delhi          20                
Love           33    Female  PhD            Business       497261    Rajasthan      5                 
Arranged       33    Male    Post Graduate  Engineer       849546    Rajasthan      2                 
Arranged       29    Female  Post Graduate  Doctor         2424892   Delhi          7                 
Arranged       38    Male    Post Graduate  PrivateJob     1940525   TamilNadu      10                
Love           36    Male    12th           PrivateJob     242059    Karnataka      25                
Love           31    Male    Graduate       GovtJob        954449    UP             3                 
Love           21    Male    Post Graduate  Doctor         2328324   UP             18                
Arranged       23    Male    12th           Business       2439601   TamilNadu      6                 
Arranged       23    Male    12th           PrivateJob     2930656   Punjab         3                 
Arranged       21    Female  PhD            Business       273641    Maharashtra    21                
Love           24    Female  12th           PrivateJob     560945    Rajasthan      4                 
Love           35    Female  12th           PrivateJob     2109658   Punjab         10                
Love           23    Female  12th           Engineer       2256839   Delhi          16                
Arranged       33    Female  10th           GovtJob        605905    Rajasthan      20                
Love           22    Female  12th           Teacher        1861571   UP             12                
Love           35    Male    PhD            Teacher        2025771   UP             6                 
Love           38    Female  Graduate       Engineer       1436398   Delhi          21                
Love           38    Female  PhD            GovtJob        1990662   Telangana      18                
Arranged       29    Male    PhD            Engineer       1260555   Gujarat        7                 
Love           31    Male    Graduate       GovtJob        1733632   Gujarat        6                 
Love           36    Male    12th           Teacher        2653787   UP             5                 
Arranged       34    Female  12th           Teacher        1759039   WB             21                
Arranged       22    Male    PhD            Business       1416522   Maharashtra    2                 
Arranged       34    Female  10th           Teacher        1482689   UP             20                
Arranged       27    Male    Graduate       PrivateJob     2435783   Telangana      24                
Love           26    Female  Graduate       PrivateJob     438728    Maharashtra    4                 
Arranged       28    Male    Post Graduate  Doctor         2874439   WB             5                 
Love           25    Male    10th           Teacher        1922729   Rajasthan      6                 
Love           21    Male    12th           PrivateJob     2662112   Rajasthan      3                 
Arranged       38    Male    10th           Engineer       848311    TamilNadu      13                
Arranged       34    Female  Post Graduate  PrivateJob     860225    Karnataka      23                
Love           33    Female  12th           Doctor         904465    Karnataka      25                
Arranged       30    Female  12th           Doctor         940489    Telangana      11                
Arranged       33    Male    12th           PrivateJob     748636    Delhi          2                 
Arranged       28    Male    Graduate       Business       2789964   Punjab         10                
Arranged       33    Male    Graduate       GovtJob        2599086   WB             1                 
Love           26    Female  PhD            GovtJob        1410556   Maharashtra    11                
Arranged       34    Male    10th           GovtJob        2372476   Telangana      22                
Love           23    Male    Graduate       Business       2203700   Delhi          24                
Arranged       30    Male    Graduate       Teacher        337376    UP             3                 
Arranged       24    Male    Post Graduate  PrivateJob     773092    Karnataka      9                 
Love           33    Male    Post Graduate  Doctor         1654776   Delhi          12                
Love           31    Female  10th           Teacher        2574189   Punjab         8                 
Arranged       38    Female  Post Graduate  Teacher        2828209   Gujarat        24                
Arranged       24    Female  Post Graduate  Engineer       998648    Rajasthan      9                 
Love           35    Female  Graduate       Engineer       2906039   Maharashtra    22                
Arranged       29    Female  12th           PrivateJob     1678185   Delhi          6                 
Love           31    Male    Graduate       Teacher        395351    Karnataka      13                
Arranged       28    Male    10th           Teacher        219864    Maharashtra    24                
Arranged       35    Female  PhD            PrivateJob     2027040   UP             6                 
Love           21    Male    Post Graduate  PrivateJob     1867153   Karnataka      22                
Arranged       34    Male    PhD            GovtJob        2580002   Karnataka      23                
Love           25    Female  10th           Doctor         2807032   TamilNadu      6                 
Love           24    Female  PhD            Engineer       1869547   Punjab         11                
Love           22    Male    Graduate       Doctor         513098    WB             11                
Arranged       23    Male    Graduate       Doctor         1697739   Gujarat        23                
Arranged       21    Male    PhD            PrivateJob     1333836   Rajasthan      23                
Arranged       29    Female  Graduate       Teacher        798344    WB             19                
Arranged       28    Male    10th           PrivateJob     483164    Maharashtra    18                
Arranged       30    Female  Post Graduate  PrivateJob     2456140   TamilNadu      9                 
Arranged       31    Female  12th           Engineer       368839    Punjab         2                 
Love           24    Female  12th           Business       2292262   Punjab         1                 
Arranged       23    Female  Graduate       PrivateJob     2832577   Rajasthan      25                
Love           26    Male    10th           Teacher        912414    Telangana      4                 
Arranged       27    Male    12th           PrivateJob     288936    UP             2                 
Love           22    Female  Post Graduate  Teacher        1150492   Telangana      20                
Love           32    Female  Post Graduate  PrivateJob     736055    WB             9                 
Love           34    Male    12th           Teacher        1663160   Punjab         14                
Love           36    Male    10th           PrivateJob     1553932   UP             9                 
Arranged       28    Female  10th           Doctor         345031    TamilNadu      25                
Love           24    Male    10th           GovtJob        956668    Delhi          16                
Arranged       32    Female  12th           Business       2756666   Punjab         15                
Love           33    Male    Post Graduate  Business       1102525   TamilNadu      22                
Arranged       35    Female  10th           Business       282316    Punjab         5                 
Love           31    Male    PhD            Doctor         630414    Delhi          11                
Love           24    Female  12th           Engineer       1991355   UP             10                
Arranged       36    Male    PhD            PrivateJob     1591811   Gujarat        23                
Arranged       37    Female  PhD            PrivateJob     2172663   Karnataka      22                
Arranged       34    Male    PhD            GovtJob        1878363   UP             13                
Arranged       26    Male    12th           Business       2467208   Telangana      25                
Love           23    Male    12th           Engineer       2021547   Telangana      1                 
Love           25    Male    10th           GovtJob        894587    Maharashtra    16                
Arranged       29    Female  Graduate       Teacher        2305007   Telangana      5                 
Arranged       21    Female  Post Graduate  PrivateJob     792953    Delhi          24                
Arranged       28    Male    Graduate       PrivateJob     2528693   WB             13                
Love           37    Female  Post Graduate  PrivateJob     1867338   WB             12                
Arranged       32    Male    10th           GovtJob        2780086   Telangana      11                
Love           24    Male    PhD            Engineer       1976926   WB             2                 
Love           21    Male    PhD            Teacher        1392894   Punjab         16                
Arranged       28    Female  PhD            Engineer       1324005   Maharashtra    15                
Love           34    Female  Post Graduate  Teacher        1468787   Maharashtra    4                 
Love           38    Male    10th           PrivateJob     1671934   Delhi          23                
Love           25    Female  12th           Engineer       1104427   Punjab         12                
Love           33    Male    PhD            Engineer       2237012   Karnataka      16                
Arranged       36    Male    12th           GovtJob        1245399   Karnataka      18                
Love           24    Male    PhD            Engineer       1773260   Gujarat        23                
Arranged       29    Male    12th           Doctor         564506    WB             25                
Arranged       37    Male    Post Graduate  Business       2111677   TamilNadu      4                 
Arranged       26    Male    Post Graduate  Teacher        531176    WB             24                
Arranged       30    Female  12th           Teacher        870026    Rajasthan      18                
Love           27    Female  Graduate       Business       1343874   Karnataka      10                
Love           24    Male    Post Graduate  Teacher        1705664   UP             7                 
Love           32    Female  Graduate       Business       2929285   Delhi          2                 
Arranged       37    Female  Post Graduate  Doctor         1462176   TamilNadu      1                 
Arranged       23    Female  10th           GovtJob        2121198   Punjab         18                
Love           32    Female  12th           Business       1930862   TamilNadu      23                
Love           24    Female  Post Graduate  Teacher        2147553   Maharashtra    14                
Arranged       21    Male    Graduate       Business       1514523   UP             2                 
Arranged       33    Male    12th           GovtJob        1537831   WB             14                
Love           26    Male    12th           GovtJob        911467    Punjab         17                
Arranged       31    Male    Post Graduate  GovtJob        1889077   Rajasthan      11                
Arranged       27    Male    Post Graduate  Teacher        2604524   Maharashtra    10                
Arranged       31    Female  10th           Doctor         1849743   Maharashtra    14                
Love           37    Male    Graduate       Business       1891846   Punjab         25                
Arranged       27    Male    12th           Business       279137    TamilNadu      21                
Arranged       26    Female  12th           PrivateJob     797599    Delhi          25                
Arranged       31    Male    12th           Doctor         2331448   Telangana      3                 
Arranged       34    Female  Post Graduate  Teacher        1760468   UP             23                
Arranged       22    Male    12th           PrivateJob     523709    Maharashtra    3                 
Love           26    Female  PhD            Teacher        2339670   Telangana      16                
Love           24    Male    Post Graduate  PrivateJob     1046935   WB             15                
Love           35    Male    Graduate       GovtJob        2391471   Gujarat        5                 
Arranged       24    Female  Post Graduate  Engineer       1240407   UP             6                 
Love           33    Male    10th           Business       1527155   UP             7                 
Arranged       34    Male    Post Graduate  PrivateJob     1582050   WB             24                
Arranged       29    Male    12th           GovtJob        1946420   WB             0                 
Arranged       38    Female  10th           PrivateJob     1577277   UP             7                 
Arranged       34    Male    Graduate       Engineer       751854    UP             5                 
Love           21    Female  PhD            Business       332147    WB             10                
Arranged       32    Male    Graduate       PrivateJob     2736822   Maharashtra    22                
Love           33    Male    10th           Business       1741350   TamilNadu      9                 
Arranged       30    Male    Graduate       Teacher        839670    Karnataka      3                 
Love           29    Female  10th           Teacher        1465101   Karnataka      20                
Love           29    Male    Post Graduate  Teacher        1333635   Punjab         10                
Love           21    Female  PhD            PrivateJob     497323    Maharashtra    7                 
Love           33    Male    Graduate       PrivateJob     906561    UP             10                
Arranged       29    Female  12th           Teacher        1754708   UP             24                
Arranged       36    Male    Graduate       Engineer       1570101   Maharashtra    18                
Love           28    Male    Graduate       GovtJob        2489545   UP             0                 
Arranged       37    Male    PhD            PrivateJob     1755282   Gujarat        7                 
Arranged       29    Male    10th           GovtJob        1186023   Telangana      0                 
Love           33    Female  12th           GovtJob        965295    TamilNadu      13                
Arranged       29    Male    PhD            Doctor         2190394   Karnataka      12                
Love           21    Male    PhD            Doctor         592256    Gujarat        8                 
Love           25    Male    12th           PrivateJob     1601196   Telangana      24                
Arranged       38    Female  PhD            Doctor         2006146   UP             16                
Love           36    Female  12th           Engineer       1287608   Maharashtra    18                
Love           38    Male    12th           Doctor         1433291   Karnataka      13                
Arranged       33    Male    Post Graduate  PrivateJob     2412997   TamilNadu      19                
Arranged       38    Male    Graduate       Teacher        2368993   Maharashtra    25                
Arranged       32    Male    10th           Teacher        2328659   Delhi          22                
Love           26    Male    10th           Teacher        388397    Rajasthan      20                
Arranged       26    Male    Graduate       PrivateJob     231474    TamilNadu      24                
Arranged       32    Male    PhD            Business       634735    Karnataka      7                 
Arranged       25    Male    PhD            GovtJob        2759147   Delhi          5                 
Love           36    Male    12th           Business       1444191   Telangana      25                
Arranged       31    Male    PhD            Teacher        2411197   WB             0                 
Arranged       36    Male    12th           Doctor         2982347   Gujarat        6                 
Arranged       34    Female  Post Graduate  GovtJob        356740    Karnataka      18                
Love           27    Female  PhD            Doctor         2976057   TamilNadu      1                 
Arranged       30    Female  12th           Engineer       713764    Maharashtra    0                 
Love           24    Male    Graduate       Teacher        641446    Rajasthan      25                
Arranged       31    Female  12th           GovtJob        2779290   WB             14                
Love           26    Male    Post Graduate  Engineer       2478686   Punjab         2                 
Arranged       27    Female  Post Graduate  PrivateJob     2086294   WB             1                 
Arranged       25    Female  Post Graduate  Business       1110883   Karnataka      16                
Arranged       37    Male    PhD            PrivateJob     596562    TamilNadu      22                
Arranged       30    Female  Post Graduate  Engineer       316284    Rajasthan      23                
Love           36    Female  Graduate       GovtJob        1423352   Gujarat        7                 
Love           29    Female  PhD            Doctor         2339242   Karnataka      0                 
Arranged       27    Female  PhD            PrivateJob     760112    Maharashtra    8                 
Arranged       27    Female  Post Graduate  Business       851328    UP             9                 
Love           23    Female  10th           PrivateJob     985214    Gujarat        19                
Arranged       30    Male    PhD            PrivateJob     2854812   Maharashtra    13                
Arranged       21    Female  Post Graduate  PrivateJob     459525    TamilNadu      17                
Love           26    Male    Graduate       Business       822952    Rajasthan      21                
Arranged       36    Female  Graduate       PrivateJob     393772    Telangana      18                
Love           23    Female  PhD            Engineer       2824033   Rajasthan      7                 
Arranged       28    Female  Graduate       GovtJob        2103063   TamilNadu      13                
Love           38    Male    12th           PrivateJob     2658080   WB             14                
Love           23    Female  10th           Teacher        2415990   WB             25                
Love           25    Male    Post Graduate  Engineer       2170055   WB             11                
Arranged       21    Male    Post Graduate  Business       2234470   Rajasthan      10                
Love           37    Male    Post Graduate  Engineer       2091318   Rajasthan      5                 
Arranged       28    Female  PhD            GovtJob        1921979   Telangana      3                 
Arranged       31    Female  Post Graduate  Teacher        346026    Maharashtra    17                
Arranged       36    Male    Post Graduate  GovtJob        388905    Telangana      23                
Love           24    Female  PhD            Doctor         2290441   Punjab         10                
Arranged       28    Male    10th           Teacher        2928760   Karnataka      3                 
Love           26    Male    PhD            Teacher        2184864   WB             0                 
Love           32    Male    PhD            Engineer       717625    Maharashtra    9                 
Love           30    Female  12th           PrivateJob     2931516   UP             15                
Love           37    Male    Graduate       Doctor         2454188   UP             1                 
Arranged       23    Male    Graduate       Teacher        1595128   Punjab         16                
Love           23    Male    PhD            PrivateJob     1122072   Telangana      3                 
Love           30    Male    PhD            Business       2564837   WB             12                
Arranged       35    Male    12th           Business       1406052   Delhi          0                 
Arranged       32    Male    Post Graduate  Business       1638878   Punjab         5                 
Arranged       36    Female  Post Graduate  Teacher        291969    Karnataka      2                 
Arranged       22    Male    10th           Engineer       678160    Punjab         7                 
Arranged       34    Male    Post Graduate  Engineer       749438    Gujarat        13                
Arranged       28    Female  Post Graduate  Doctor         1405576   Delhi          4                 
Arranged       22    Male    12th           GovtJob        2627787   Telangana      15                
Love           30    Female  10th           Business       1301304   Punjab         22                
Arranged       30    Female  Post Graduate  Doctor         1388277   Rajasthan      23                
Arranged       37    Male    Graduate       PrivateJob     2389060   Delhi          15                
Arranged       26    Female  PhD            Doctor         1141178   Telangana      24                
Love           23    Male    10th           Doctor         450261    Karnataka      12                
Love           28    Female  Post Graduate  PrivateJob     1171237   Rajasthan      0                 
Love           37    Male    Post Graduate  PrivateJob     1112642   TamilNadu      4                 
Love           27    Male    Graduate       GovtJob        211308    Rajasthan      25                
Arranged       33    Female  Post Graduate  Engineer       2865322   Delhi          5                 
Arranged       35    Female  10th           GovtJob        332737    WB             14                
Love           35    Female  PhD            PrivateJob     1528481   Karnataka      19                
Love           33    Male    Graduate       Engineer       2865068   Telangana      5                 
Arranged       21    Male    PhD            Doctor         2569554   UP             0                 
Arranged       33    Female  Post Graduate  Business       1350467   UP             9                 
Love           23    Female  12th           Doctor         995014    TamilNadu      13                
Love           32    Male    PhD            Engineer       2595038   Maharashtra    6                 
Arranged       26    Male    10th           GovtJob        433266    UP             2                 
Love           33    Male    Graduate       Business       604037    UP             23                
Love           32    Male    PhD            GovtJob        524432    TamilNadu      22                
Arranged       24    Female  PhD            PrivateJob     1160255   WB             8                 
Love           33    Female  Graduate       Business       1423946   UP             21                
Love           31    Female  Post Graduate  PrivateJob     2993895   Karnataka      20                
Love           21    Female  10th           PrivateJob     1913775   WB             7                 
Love           34    Male    Post Graduate  Teacher        1924805   Punjab         11                
Arranged       28    Male    Post Graduate  Doctor         2637096   Maharashtra    11                
Arranged       32    Female  12th           Doctor         642189    TamilNadu      14                
Love           26    Male    PhD            GovtJob        965602    Punjab         1                 
Love           33    Female  Post Graduate  GovtJob        2265913   Telangana      11                
Love           25    Female  10th           Engineer       1530863   Telangana      20                
Arranged       33    Male    Post Graduate  Doctor         2470749   Telangana      15                
Arranged       37    Male    Post Graduate  GovtJob        317641    Gujarat        2                 
Love           27    Male    Post Graduate  Doctor         2011546   Gujarat        10                
Love           33    Male    Post Graduate  Engineer       1556323   WB             22                
Love           35    Male    Post Graduate  Teacher        972954    UP             11                
Love           31    Female  10th           GovtJob        355626    Telangana      20                
Arranged       38    Male    12th           Engineer       1417825   Punjab         14                
Love           25    Male    PhD            Engineer       1409926   Karnataka      19                
Love           28    Male    PhD            PrivateJob     1332765   Karnataka      18                
Arranged       37    Female  Post Graduate  Business       329792    Karnataka      11                
Arranged       30    Male    12th           Engineer       2959489   WB             19                
Love           34    Male    PhD            Doctor         2885615   Punjab         1                 
Love           24    Male    Graduate       Doctor         1701586   Delhi          5                 
Arranged       25    Female  Post Graduate  GovtJob        1915339   Delhi          3                 
Arranged       30    Male    PhD            Business       720081    UP             9                 
Arranged       21    Male    12th           Business       266741    UP             18                
Love           25    Female  PhD            GovtJob        284281    WB             4                 
Love           38    Male    PhD            PrivateJob     2644120   Punjab         4                 
Arranged       22    Female  10th           Teacher        2815239   Karnataka      6                 
Arranged       38    Male    Post Graduate  Business       484965    WB             18                
Arranged       36    Male    Graduate       GovtJob        249931    WB             5                 
Love           34    Female  10th           Doctor         326957    Maharashtra    10                
Arranged       27    Male    PhD            Business       1553929   Rajasthan      13                
Love           21    Male    Graduate       GovtJob        2216308   Punjab         4                 
Arranged       30    Female  10th           Business       2419552   Rajasthan      7                 
Love           35    Female  Post Graduate  Engineer       253967    Delhi          11                
Arranged       24    Female  10th           Teacher        1515465   Punjab         1                 
Love           26    Female  Post Graduate  GovtJob        658594    WB             6                 
Love           24    Female  PhD            PrivateJob     1183752   Punjab         17                
Arranged       36    Female  Graduate       Teacher        2876957   Rajasthan      16                
Arranged       21    Male    Post Graduate  Business       610699    WB             14                
Love           29    Female  PhD            GovtJob        1383323   Maharashtra    5                 
Arranged       37    Female  Post Graduate  Engineer       2464947   WB             17                
Love           28    Male    12th           Business       2152280   Rajasthan      24                
Love           37    Female  10th           Business       1367733   Maharashtra    12                
Arranged       36    Female  PhD            Engineer       1405892   Punjab         3                 
Love           29    Male    10th           Teacher        1696978   Maharashtra    9                 
Arranged       32    Female  12th           GovtJob        2187828   Maharashtra    24                
Arranged       28    Male    Post Graduate  Doctor         2947991   UP             7                 
Love           35    Female  Graduate       Business       846981    Gujarat        12                
Arranged       35    Male    PhD            Engineer       2898219   Telangana      0                 
Love           24    Male    Graduate       PrivateJob     1462323   Rajasthan      20                
Love           30    Female  10th           GovtJob        1097792   Telangana      8                 
